age,x,n,nNx,nDx,nmx,nax,nqx,npx,lx,ndx,nLx,Tx,ex
00 to 01,0,1,109,1,0.009174312,0.069623853,0.009096667,0.990903333,100000,909.6666773,99153.66782,7149946.814,71.49946814
02 to 04,1,4,467,0,0,1.651,0,1,99090.33332,0,396361.3333,7050793.147,71.15520667
05 to 09,5,5,597,0,0,2,0,1,99090.33332,0,495451.6666,6654431.813,67.15520667
10 to 14,10,5,600,0,0,2.73,0,1,99090.33332,0,495451.6666,6158980.147,62.15520667
15 to 19,15,5,580,0,0,2.58,0,1,99090.33332,0,495451.6666,5663528.48,57.15520667
20 to 24,20,5,521,1,0.001919386,2.69,0.009554566,0.990445434,99090.33332,946.7651423,493264.6391,5168076.813,52.15520667
25 to 29,25,5,537,1,0.001862197,2.56,0.009268871,0.990731129,98143.56818,909.6801144,488498.2214,4674812.174,47.63238448
30 to 34,30,5,586,1,0.001706485,2.61,0.008497765,0.991502235,97233.88807,826.2707394,484194.6533,4186313.953,43.05406311
35 to 39,35,5,628,2,0.003184713,2.59,0.015802282,0.984197718,96407.61733,1523.460341,478366.5472,3702119.3,38.40069283
40 to 44,40,5,701,3,0.004279601,2.66,0.021185842,0.978814158,94884.15699,2010.200778,469716.9151,3223752.752,33.97566944
45 to 49,45,5,683,4,0.005856515,2.63,0.028881701,0.971118299,92873.95621,2682.357792,458012.5931,2754035.837,29.65347822
50 to 54,50,5,643,6,0.00933126,2.63,0.045646815,0.954353185,90191.59841,4116.959241,441200.7987,2296023.244,25.45717433
55 to 59,55,5,544,7,0.012867647,2.67,0.062465421,0.937534579,86074.63917,5376.688567,417845.5115,1854822.446,21.54900053
60 to 64,60,5,406,8,0.019704433,2.69,0.094232944,0.905767056,80697.95061,7604.405447,385923.5764,1436976.934,17.80685783
65 to 69,65,5,299,9,0.030100334,2.61,0.140401236,0.859598764,73093.54516,10262.42405,340940.5323,1051053.358,14.37956464
70 to 74,70,5,174,8,0.045977011,2.68,0.207727462,0.792272538,62831.12111,13051.7493,283875.5472,710112.8252,11.30192829
75 to 79,75,5,93,7,0.075268817,2.49,0.316541557,0.683458443,49779.37181,15757.23988,209346.187,426237.2781,8.562528263
80 plus,80,NA,102,16,0.156862745,6.374996452,1,0,34022.13193,34022.13193,216891.0911,216891.0911,6.375
