Country or Area,Year,Area,Sex,Age,Record Type,Source Year,Value
Palau,2020,Total,Both Sexes,Total,Census - de jure - complete tabulation,2022,17614
Palau,2015,Total,Both Sexes,Total,Census - de jure - complete tabulation,2016,17661
Palau,2012,Total,Both Sexes,Total,Census - de jure - complete tabulation,2016,17501
Palau,2005,Total,Both Sexes,Total,Census - de jure - complete tabulation,2008,19907
Palau,2000,Total,Both Sexes,Total,Census - de jure - complete tabulation,2005,19129
Palau,1995,Total,Both Sexes,Total,Census - de jure - complete tabulation,2005,17225
Palau,1990,Total,Both Sexes,Total,Census - de jure - complete tabulation,2000,15122
Palau,1986,Total,Both Sexes,Total,Census - de facto - complete tabulation,2000,13873
Palau,1980,Total,Both Sexes,Total,Census - de facto - complete tabulation,2000,12116
Palau,1973,Total,Both Sexes,Total,Census - de facto - complete tabulation,2000,12673
Palau,1970,Total,Both Sexes,Total,Census - de jure - complete tabulation,2000,11210
Palau,1967,Total,Both Sexes,Total,Census - de facto - complete tabulation,2000,10983
Palau,1958,Total,Both Sexes,Total,Census - de facto - complete tabulation,2000,8884
